"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"260725",21977,"HY338482","07/13/2015 04:58:00 AM","024XX S SAWYER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",1024,10,22,30,"01A",1155078,1887705,2015,"08/17/2015 03:03:40 PM",41.847670913,-87.706351061,"(41.847670913, -87.706351061)"
"260726",21978,"HY342105","07/15/2015 06:30:00 PM","063XX W FULLERTON AVE","0110","HOMICIDE","FIRST DEGREE MURDER","PARK PROPERTY","false","false",2512,25,29,19,"01A",1133601,1915262,2015,"08/17/2015 03:03:40 PM",41.923694334,-87.78452659,"(41.923694334, -87.78452659)"
"260727",21979,"HY342285","07/15/2015 09:00:00 PM","049XX W HUBBARD ST","0110","HOMICIDE","FIRST DEGREE MURDER","PARK PROPERTY","false","false",1532,15,28,25,"01A",1143318,1902558,2015,"08/17/2015 03:03:40 PM",41.888656952,-87.749140044,"(41.888656952, -87.749140044)"
"260728",21980,"HY342488","07/16/2015 12:17:00 AM","013XX N LOCKWOOD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",2532,25,37,25,"01A",1140785,1908250,2015,"08/17/2015 03:03:40 PM",41.904323426,-87.758302186,"(41.904323426, -87.758302186)"
"260729",21982,"HY343941","07/17/2015 04:43:00 AM","036XX N ST LOUIS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false",1732,17,35,16,"01A",1152407,1924075,2015,"08/17/2015 03:03:40 PM",41.947526838,-87.715192046,"(41.947526838, -87.715192046)"
"260730",21983,"HY344413","07/17/2015 02:30:00 PM","020XX W ARTHUR AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",2412,24,50,2,"01A",1161593,1943155,2015,"08/17/2015 03:03:40 PM",41.99969642,-87.680892445,"(41.99969642, -87.680892445)"
"260731",21984,"HY344710","07/17/2015 05:23:00 PM","046XX N KOSTNER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","true","true",1722,17,45,16,"01A",1146003,1930488,2015,"12/09/2015 04:02:29 PM",41.965248952,-87.73856815,"(41.965248952, -87.73856815)"
"260732",21985,"HY344710","07/17/2015 05:23:00 PM","046XX N KOSTNER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","true","true",1722,17,45,16,"01A",1146003,1930488,2015,"12/09/2015 04:02:29 PM",41.965248952,-87.73856815,"(41.965248952, -87.73856815)"
"260733",21988,"HY345202","07/18/2015 01:20:00 AM","035XX W GRENSHAW ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",1133,11,24,29,"01A",1152944,1894829,2015,"03/24/2016 03:44:11 PM",41.867262482,-87.713994347,"(41.867262482, -87.713994347)"
"260734",21989,"HY345337","07/18/2015 04:59:00 AM","074XX S EGGLESTON AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",732,7,17,69,"01A",1174584,1855507,2015,"08/17/2015 03:03:40 PM",41.758903325,-87.635723013,"(41.758903325, -87.635723013)"
