,X,School_Boundary,School_ID,School_Name_Tag,Primary_Category,School_Type,Attendance_Boundaries,School_Longitude,School_Latitude,Totals_20th,ACT_Overall_Read,ACT_Overall_Math,ACT_Overall_Science,ACT_Overall_English,ACT_Overall_Composite,Bilingual_N,SpED_N,FreeReducedLunch_N,White_N,AfricanAmerican_N,PacificIslander_N,NativeAmerican_N,Hispanic_N,Multi_N,Asian_N,Hawaiian_N,SQRP_HS_Points,School_Longitude.1,School_Latitude.1,Crime_Count
55,10,13,609712,HIRSCH_HS_2014,HS,Neighborhood,Y,-87.601727,41.753748,201,14.9,15.3,15,12.7,14.5,0,68,200,2,197,0,0,0,2,0,0,1.2,-87.601727,41.753748,1293
56,11,15,609713,HYDE_PARK_HS_2014,HS,Neighborhood,Y,-87.586615,41.782257,946,15.2,15.7,16,14.9,15.4,3,160,922,0,937,0,0,6,3,0,0,2.4,-87.586615,41.782257,1476
57,12,17,609716,KELVYN_PARK_HS_2014,HS,Neighborhood,Y,-87.735999,41.927918,887,15.8,16,16.2,15.2,15.8,168,149,853,17,61,0,5,797,3,3,0,2.3,-87.735999,41.927918,599
58,13,18,609718,KENNEDY_HS_2014,HS,Neighborhood,Y,-87.78084,41.789961,1568,18.5,18.5,18.1,18.8,18.5,84,297,1346,405,64,0,7,1069,5,13,5,3.1,-87.78084,41.789961,500
59,14,19,609722,MANLEY_HS_2014,HS,Neighborhood,Y,-87.699896,41.870939,356,14.4,15,15.1,13.4,14.5,1,105,308,0,342,0,0,12,0,0,0,2.3,-87.699896,41.870939,2632
60,15,20,609724,MATHER_HS_2014,HS,Neighborhood,Y,-87.702496,41.987589,1579,16.9,17.5,17.3,15.6,16.8,333,170,1437,319,188,0,8,605,30,425,4,3.4,-87.702496,41.987589,643
61,16,21,609725,MORGAN_PARK_HS_2014,HS,Neighborhood,Y,-87.665658,41.692035,1436,17.7,17.4,17.8,17.5,17.6,5,167,1234,15,1390,0,1,18,10,1,1,3,-87.665658,41.692035,796
62,17,22,609727,PHILLIPS_HS_2014,HS,Neighborhood,Y,-87.619796,41.82388,614,14.7,15.4,15.3,13.2,14.7,4,114,595,1,601,0,2,5,3,2,0,2.1,-87.619796,41.82388,3866
63,18,23,609728,ROOSEVELT_HS_2014,HS,Neighborhood,Y,-87.714819,41.964828,1357,15.6,16.2,15.8,14.6,15.6,293,229,1311,69,165,1,4,1001,8,80,2,2.6,-87.714819,41.964828,815
64,19,24,609729,SCHURZ_HS_2014,HS,Neighborhood,Y,-87.735612,41.946365,2302,16.1,16.8,16.5,15.5,16.2,398,408,2156,121,214,0,13,1864,19,33,3,2.5,-87.735612,41.946365,1700
65,20,25,609730,SENN_HS_2014,HS,Neighborhood,Y,-87.667136,41.989029,1281,18.5,18.4,18.7,18,18.4,187,147,1120,130,356,0,3,572,34,173,11,3.9,-87.667136,41.989029,1599
66,21,26,609732,STEINMETZ_HS_2014,HS,Neighborhood,Y,-87.783515,41.935634,1709,16.6,17.2,17.6,15.3,16.7,244,265,1599,171,216,0,15,1265,5,34,1,2.8,-87.783515,41.935634,1300
67,22,27,609733,SULLIVAN_HS_2014,HS,Neighborhood,Y,-87.669192,42.002688,574,15.8,16.7,15.8,14.1,15.6,177,123,544,25,231,0,4,219,9,85,1,2.8,-87.669192,42.002688,1012
68,23,28,609734,TAFT_HS_2014,HS,Neighborhood,Y,-87.791547,41.982961,3233,19,18.9,19.1,18.9,19,194,392,1979,1557,68,3,9,1268,71,247,5,3.5,-87.791547,41.982961,973
69,24,29,609738,LINCOLN_PARK_HS_2014,HS,Neighborhood,Y,-87.646009,41.918268,2267,22.5,21.9,21.4,22.4,22.1,53,163,1321,633,504,0,5,807,94,222,1,4.4,-87.646009,41.918268,1058
70,25,30,609739,WASHINGTON_HS_2014,HS,Neighborhood,Y,-87.53757,41.688137,1474,17.1,16.7,17.2,16.2,16.8,109,215,1367,87,109,0,12,1261,4,1,0,3.2,-87.53757,41.688137,691
71,26,31,609740,WELLS_HS_2014,HS,Neighborhood,Y,-87.667483,41.898995,546,15.7,16.6,15.5,14.4,15.5,56,140,520,10,292,0,1,238,2,2,0,2.7,-87.667483,41.898995,1613
72,27,32,609746,KENWOOD_HS_2014,HS,Neighborhood,Y,-87.590421,41.803772,1757,19.3,19.5,19.6,19.3,19.4,16,132,1268,40,1507,0,3,72,42,57,1,4.1,-87.590421,41.803772,475
73,28,33,609759,CLEMENTE_HS_2014,HS,Neighborhood,Y,-87.686906,41.902626,733,15.1,15.5,15.3,14.1,15,78,166,706,17,171,0,6,535,4,0,0,2.9,-87.686906,41.902626,1256
74,29,36,609762,JULIAN_HS_2014,HS,Neighborhood,Y,-87.653749,41.705859,871,15,15.4,15.3,14.2,15,1,169,823,0,864,0,0,4,3,0,0,2.5,-87.653749,41.705859,509
75,30,37,609764,JUAREZ_HS_2014,HS,Neighborhood,Y,-87.663732,41.852667,1676,16.1,16.8,16.8,15.8,16.4,238,247,1619,15,42,0,10,1586,8,14,1,3.2,-87.663732,41.852667,674
76,31,38,609711,HARPER_HS_2014,HS,Neighborhood,Y,-87.669089,41.775124,349,13.9,15,14.6,12.5,14,1,89,344,1,336,0,0,11,0,0,0,2.4,-87.669089,41.775124,1458
77,32,39,609715,KELLY_HS_2014,HS,Neighborhood,Y,-87.694639,41.818729,2290,16.1,17.7,16.5,16.5,16.7,471,320,2205,47,49,0,4,1848,2,322,1,3.1,-87.694639,41.818729,1119
78,33,40,609735,TILDEN_HS_2014,HS,Neighborhood,Y,-87.642966,41.80751,328,15,15.2,14.7,13.4,14.6,13,108,319,36,198,0,0,79,8,5,0,1.9,-87.642966,41.80751,1333
79,34,41,609768,HOPE_HS_2014,HS,Neighborhood,Y,-87.641244,41.793553,272,14.7,15.1,15.5,13.5,14.7,5,56,271,2,261,0,0,9,0,0,0,2.6,-87.641244,41.793553,877
80,35,42,609682,RICHARDS_HS_2014,HS,Neighborhood,Y,-87.662278,41.802881,354,14.3,15.7,14.9,13.7,14.7,45,96,348,3,148,0,1,200,1,1,0,2.6,-87.662278,41.802881,565
81,36,44,609704,FARRAGUT_HS_2014,HS,Neighborhood,Y,-87.708706,41.84856,987,15.6,16.8,16,14.9,15.8,267,197,978,6,112,0,3,833,1,0,0,2.6,-87.708706,41.84856,1422
82,37,45,610383,SOCIAL_JUSTICE_HS_2014,HS,Small,Y,-87.735299,41.833507,326,16.3,16.4,16.9,15.5,16.3,57,47,317,1,35,0,1,288,1,0,0,3.6,-87.735299,41.833507,881
83,38,45,610384,INFINITY_HS_2014,HS,Small,Y,-87.735278,41.836169,418,17.3,19.6,18.1,17.2,18.1,42,47,404,2,16,0,1,398,1,0,0,4,-87.735278,41.836169,881
84,39,45,610385,MULTICULTURAL_HS_2014,HS,Small,Y,-87.735283,41.835282,276,14.9,15.9,15.5,14.4,15.2,71,56,271,2,37,0,3,226,0,0,0,3.4,-87.735283,41.835282,881
85,40,45,610392,WORLD_LANGUAGE_HS_2014,HS,Small,Y,-87.735292,41.834397,341,15.9,16.4,16.9,17.8,16.7,65,45,340,1,34,0,0,306,0,0,0,3.6,-87.735292,41.834397,881
86,41,46,610543,SOLORIO_HS_2014,HS,Neighborhood,Y,-87.711059,41.795201,1083,16.4,18.3,17.1,15.5,16.8,135,136,1046,15,49,0,8,1010,1,0,0,3.4,-87.711059,41.795201,507
87,42,47,609709,GAGE_PARK_HS_2014,HS,Neighborhood,Y,-87.688954,41.791013,465,15.3,15.6,16.2,15,15.5,82,87,458,4,210,0,2,246,1,1,1,2.6,-87.688954,41.791013,1616
88,43,48,609741,HUBBARD_HS_2014,HS,Neighborhood,Y,-87.718014,41.780526,1701,16.6,18.6,17.6,16.4,17.3,207,209,1663,52,92,0,7,1505,3,40,0,3.6,-87.718014,41.780526,407
89,44,56,609674,CHICAGO_VOCATIONAL_HS_2014,HS,Career academy,Y,-87.573268,41.737174,953,14.2,15.1,15,13.6,14.5,10,257,910,0,934,0,1,12,6,0,0,2.7,-87.573268,41.737174,3058
90,45,61,609719,LAKE_VIEW_HS_2014,HS,Neighborhood,Y,-87.668953,41.954764,1347,17.8,18.8,18.4,17.4,18.1,46,177,1188,154,174,0,9,906,30,71,1,3.7,-87.668953,41.954764,852
91,1,1,609691,NORTH-GRAND_HS_2015,HS,Neighborhood,Y,-87.735238,41.911674,978,15.6,16.5,16.7,14.9,15.9,209,169,932,5,121,0,4,843,3,2,0,3.7,-87.735238,41.911674,274
92,2,2,609695,AMUNDSEN_HS_2015,HS,Neighborhood,Y,-87.679484,41.975067,1141,18.3,17.7,18.1,18.2,18.1,125,142,1022,123,127,0,11,677,21,176,5,3.6,-87.679484,41.975067,389
93,3,3,609698,BOGAN_HS_2015,HS,Neighborhood,Y,-87.721097,41.749376,856,15.7,15,15.4,13.9,15,82,199,771,10,432,0,0,408,5,1,0,3,-87.721097,41.749376,866
94,4,7,609707,ROBESON_HS_2015,HS,Neighborhood,Y,-87.637153,41.769714,204,13.6,14.7,14,13.2,13.9,0,63,202,0,203,0,0,0,1,0,0,1.6,-87.637153,41.769714,3305
95,5,8,609708,FOREMAN_HS_2015,HS,Neighborhood,Y,-87.754167,41.939797,1045,15.7,17.2,16.6,15.1,16.1,220,187,985,34,178,0,4,815,4,8,1,2.6,-87.754167,41.939797,1081
96,6,9,609710,HARLAN_HS_2015,HS,Neighborhood,Y,-87.620623,41.718372,613,15.1,15.2,15.5,14.2,15,0,125,570,0,606,0,0,4,2,0,0,1.7,-87.620623,41.718372,2183
97,7,10,609723,MARSHALL_HS_2015,HS,Neighborhood,Y,-87.70805,41.878444,425,14.7,15.4,16,13.9,15,2,105,380,0,416,0,1,6,2,0,0,2.8,-87.70805,41.878444,2960
98,8,10,610389,ORR_HS_2015,HS,Neighborhood,Y,-87.726166,41.894449,405,13.7,15.2,14.7,12.5,14,15,106,383,1,347,0,0,56,1,0,0,1.7,-87.726166,41.894449,2960
99,9,12,609712,HIRSCH_HS_2015,HS,Neighborhood,Y,-87.601727,41.753748,150,13.3,14.4,13.6,12,13.3,0,55,137,1,145,0,0,3,0,0,0,1.9,-87.601727,41.753748,1302
100,10,14,609713,HYDE_PARK_HS_2015,HS,Neighborhood,Y,-87.586615,41.782257,807,15.6,15.5,15.6,14.8,15.4,3,142,771,0,796,0,1,7,3,0,0,2.4,-87.586615,41.782257,1426
101,11,16,609716,KELVYN_PARK_HS_2015,HS,Neighborhood,Y,-87.735999,41.927918,711,15.8,15.9,15.6,14.8,15.5,170,115,676,12,48,0,4,637,1,4,0,2.5,-87.735999,41.927918,553
102,12,17,609718,KENNEDY_HS_2015,HS,Neighborhood,Y,-87.78084,41.789961,1629,18.5,18.4,18.2,19,18.5,114,289,1337,409,61,0,6,1133,5,11,4,3.3,-87.78084,41.789961,488
103,13,18,609722,MANLEY_HS_2015,HS,Neighborhood,Y,-87.699896,41.870939,248,14.9,15.4,16,14.3,15.2,2,65,234,1,235,0,0,9,1,0,0,2,-87.699896,41.870939,3307
104,14,19,609724,MATHER_HS_2015,HS,Neighborhood,Y,-87.702496,41.987589,1576,17.9,18.6,18.4,17.2,18,369,169,1384,334,183,0,8,571,26,453,1,3.5,-87.702496,41.987589,606
105,15,20,609725,MORGAN_PARK_HS_2015,HS,Neighborhood,Y,-87.665658,41.692035,1431,17.7,17.1,17.7,17.3,17.4,5,137,1207,12,1385,0,1,20,12,0,1,3.3,-87.665658,41.692035,740
106,16,21,609727,PHILLIPS_HS_2015,HS,Neighborhood,Y,-87.619796,41.82388,643,15.4,15.7,15.5,14.4,15.2,5,123,597,2,627,0,0,7,4,2,1,2.5,-87.619796,41.82388,4674
107,17,22,609728,ROOSEVELT_HS_2015,HS,Neighborhood,Y,-87.714819,41.964828,1182,15.9,16.8,16.3,14.8,16,304,232,1094,59,150,0,5,868,7,87,3,2.4,-87.714819,41.964828,874
108,18,23,609729,SCHURZ_HS_2015,HS,Neighborhood,Y,-87.735612,41.946365,2002,16.5,17.1,16.9,15.9,16.6,347,382,1837,114,191,0,10,1624,20,28,2,3,-87.735612,41.946365,1758
109,19,24,609730,SENN_HS_2015,HS,Neighborhood,Y,-87.667136,41.989029,1365,19.6,19.1,19.8,20.1,19.7,194,188,1130,135,380,1,5,584,38,203,18,3.8,-87.667136,41.989029,1745
110,20,25,609732,STEINMETZ_HS_2015,HS,Neighborhood,Y,-87.783515,41.935634,1545,16.6,17.1,17.5,15.6,16.7,230,272,1395,137,220,0,12,1129,12,33,1,2.9,-87.783515,41.935634,1234
111,21,26,609733,SULLIVAN_HS_2015,HS,Neighborhood,Y,-87.669192,42.002688,563,15.5,16.1,15.3,14.5,15.3,178,136,511,22,225,0,3,227,11,74,1,3,-87.669192,42.002688,982
112,22,27,609734,TAFT_HS_2015,HS,Neighborhood,Y,-87.791547,41.982961,3212,19.5,19,19.4,19.9,19.5,233,384,1873,1554,73,0,6,1262,65,239,7,3.9,-87.791547,41.982961,940
113,23,28,609738,LINCOLN_PARK_HS_2015,HS,Neighborhood,Y,-87.646009,41.918268,2114,22,21.9,21.7,22.3,22,47,170,1239,595,479,0,7,721,84,228,0,4.4,-87.646009,41.918268,1217
114,24,29,609739,WASHINGTON_HS_2015,HS,Neighborhood,Y,-87.53757,41.688137,1433,17.1,16.8,17.6,16.9,17.1,129,203,1297,81,92,0,8,1246,5,1,0,3.7,-87.53757,41.688137,709
115,25,30,609740,WELLS_HS_2015,HS,Neighborhood,Y,-87.667483,41.898995,461,15.7,16,15,14.2,15.2,55,117,440,15,243,0,0,200,3,0,0,3.2,-87.667483,41.898995,2922
116,26,31,609746,KENWOOD_HS_2015,HS,Neighborhood,Y,-87.590421,41.803772,1724,19.5,18.8,19.8,20.1,19.6,9,98,1173,46,1461,1,4,80,44,52,1,4.3,-87.590421,41.803772,420
117,27,32,609759,CLEMENTE_HS_2015,HS,Neighborhood,Y,-87.686906,41.902626,766,16.2,16.2,16.7,15,16,84,181,729,19,208,0,4,528,6,1,0,3.1,-87.686906,41.902626,1337
118,28,35,609762,JULIAN_HS_2015,HS,Neighborhood,Y,-87.653749,41.705859,720,15.3,15.4,15.5,13.9,15,1,136,676,0,718,0,0,1,1,0,0,2.7,-87.653749,41.705859,467
119,29,36,609764,JUAREZ_HS_2015,HS,Neighborhood,Y,-87.663732,41.852667,1686,16.4,16.7,16.4,15.8,16.3,262,256,1623,13,53,0,8,1592,7,13,0,3.3,-87.663732,41.852667,686
120,30,37,609711,HARPER_HS_2015,HS,Neighborhood,Y,-87.669089,41.775124,253,13.8,15.2,14,12.8,14,2,65,248,0,244,0,0,7,1,0,0,2.3,-87.669089,41.775124,1366
